,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
501,... < 0 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,27,none,own,1
502,... < 0 DM,36,existing credits paid back duly till now,car (used),5493,... < 100 DM,... >= 7 years,2,none,unknown / no property,42,none,for free,0
503,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1126,100 <= ... < 500 DM,... >= 7 years,2,none,real estate,49,none,own,0
504,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,none,unknown / no property,38,bank,own,1
505,... < 0 DM,24,existing credits paid back duly till now,car (new),1207,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,24,none,rent,1
506,no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 <= ... < 4 years,4,guarantor,building society savings agreement/ life insurance,27,none,own,1
507,... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",36,none,own,0
508,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... < 500 DM,unemployed,1,none,building society savings agreement/ life insurance,34,none,own,1
509,no checking account,24,existing credits paid back duly till now,radio/television,1413,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,28,none,own,0
510,no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... < 500 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",45,none,own,0
511,... < 0 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,none,real estate,26,none,own,1
512,no checking account,36,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,none,unknown / no property,32,none,for free,0
513,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,2687,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,26,none,rent,0
514,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,... < 100 DM,1 <= ... < 4 years,4,co-applicant,real estate,20,none,rent,0
515,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,none,building society savings agreement/ life insurance,54,none,own,0
516,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,37,none,own,0
517,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,... < 100 DM,... < 1 year,2,none,real estate,40,none,own,0
518,no checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,7127,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,23,none,rent,1
519,... < 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,... >= 7 years,3,none,building society savings agreement/ life insurance,43,none,own,0
520,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,36,none,for free,0
521,no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,... < 100 DM,... >= 7 years,3,none,unknown / no property,44,none,for free,0
522,... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,... < 100 DM,1 <= ... < 4 years,2,none,real estate,24,none,own,1
523,... < 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... < 100 DM,1 <= ... < 4 years,3,none,unknown / no property,53,none,for free,1
524,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",23,none,own,0
525,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM,1 <= ... < 4 years,4,guarantor,real estate,26,none,own,0
526,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
527,no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
528,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,... < 100 DM,4 <= ... < 7 years,2,none,real estate,42,none,own,0
529,... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",31,none,rent,1
530,... < 0 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,3,none,real estate,41,none,own,0
531,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
532,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",28,none,rent,1
533,no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,none,real estate,41,none,rent,0
534,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,26,none,own,0
535,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
536,... >= 200 DM / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),education,2319,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",33,none,rent,1
537,... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,none,building society savings agreement/ life insurance,75,none,own,0
538,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,3,none,building society savings agreement/ life insurance,37,none,own,0
539,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,none,unknown / no property,42,bank,for free,1
540,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,none,building society savings agreement/ life insurance,45,stores,own,0
541,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... < 100 DM,... < 1 year,1,none,real estate,23,none,rent,1
542,no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,none,unknown / no property,60,none,for free,0
543,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,31,none,own,1
544,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,... < 100 DM,1 <= ... < 4 years,2,none,real estate,34,none,own,1
545,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,4,none,real estate,61,none,own,0
546,... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,none,real estate,43,none,for free,1
547,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
548,no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",32,bank,own,0
549,... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,none,real estate,24,bank,own,1
550,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,none,unknown / no property,35,none,for free,0
551,no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 <= ... < 7 years,4,none,real estate,23,none,own,0
552,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,45,bank,own,0
553,... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,1,guarantor,real estate,34,none,own,1
554,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
555,0 <= ... < 200 DM,9,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,67,none,own,0
556,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",22,stores,own,1
557,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
558,no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,29,bank,own,1
559,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",27,bank,own,1
560,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,none,real estate,31,none,own,1
561,... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,49,bank,for free,0
562,... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... < 100 DM,4 <= ... < 7 years,4,guarantor,"car or other, not in attribute Savings account/bonds",24,bank,rent,1
563,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,29,bank,own,0
564,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,none,unknown / no property,37,none,for free,1
565,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,37,bank,own,0
566,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,23,none,rent,0
567,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",36,none,own,1
568,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,... >= 1000 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
569,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",41,none,own,0
570,... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",31,none,own,1
571,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,none,real estate,23,none,rent,1
572,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,co-applicant,"car or other, not in attribute Savings account/bonds",38,none,own,0
573,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,none,building society savings agreement/ life insurance,26,none,rent,0
574,... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,22,none,own,0
575,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
576,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,co-applicant,"car or other, not in attribute Savings account/bonds",24,bank,own,0
577,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,... < 100 DM,4 <= ... < 7 years,2,none,real estate,27,none,own,0
578,no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",33,none,own,0
579,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,1
580,no checking account,24,existing credits paid back duly till now,retraining,937,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
581,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,3,guarantor,real estate,30,bank,own,1
582,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,1,none,real estate,49,bank,own,0
583,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,none,real estate,26,none,rent,0
584,0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,none,unknown / no property,33,none,rent,1
585,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,52,none,for free,0
586,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM,1 <= ... < 4 years,1,none,real estate,20,bank,rent,1
587,... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,none,real estate,36,none,rent,0
588,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,guarantor,building society savings agreement/ life insurance,21,none,own,0
589,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,none,real estate,47,none,own,1
590,... < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,... < 100 DM,... >= 7 years,3,none,building society savings agreement/ life insurance,60,none,own,1
591,... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,... < 100 DM,4 <= ... < 7 years,4,none,real estate,58,none,own,0
592,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",42,none,rent,0
593,no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,4,none,real estate,36,bank,own,0
594,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,20,none,rent,1
595,... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",40,stores,own,1
596,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,none,building society savings agreement/ life insurance,32,stores,own,1
597,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",23,none,rent,1
598,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,none,real estate,36,none,own,1
599,no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,31,bank,own,1
600,no checking account,24,delay in paying off in the past,business,3863,... < 100 DM,1 <= ... < 4 years,1,none,unknown / no property,32,none,for free,0
601,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,1,guarantor,real estate,45,none,own,0
602,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,30,none,own,1
603,0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,34,bank,for free,1
604,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
605,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,23,none,own,0
606,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,22,stores,own,0
607,no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,none,real estate,74,none,own,0
608,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,co-applicant,unknown / no property,50,none,for free,1
609,no checking account,18,existing credits paid back duly till now,radio/television,2051,... < 100 DM,... < 1 year,4,none,real estate,33,none,own,0
610,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,45,bank,for free,0
611,... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,none,building society savings agreement/ life insurance,22,none,own,1
612,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,1,none,unknown / no property,48,none,for free,1
613,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",29,bank,own,0
614,... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,guarantor,"car or other, not in attribute Savings account/bonds",22,bank,rent,0
615,no checking account,18,delay in paying off in the past,furniture/equipment,1808,... < 100 DM,4 <= ... < 7 years,4,none,real estate,22,none,own,1
616,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",48,bank,own,0
617,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1 <= ... < 4 years,2,none,unknown / no property,27,none,for free,0
618,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,none,real estate,37,none,rent,0
619,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,co-applicant,"car or other, not in attribute Savings account/bonds",21,none,rent,1
620,no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,none,real estate,49,none,own,0
621,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,27,none,own,0
622,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,32,bank,own,1
623,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,38,bank,own,1
624,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",22,none,rent,0
625,... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,65,none,for free,1
626,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
627,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM,1 <= ... < 4 years,2,none,real estate,41,none,own,0
628,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,unknown / no property,29,none,own,1
629,no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,36,none,own,0
630,no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,... >= 7 years,1,none,real estate,64,none,own,0
631,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
632,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",44,bank,own,1
633,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,none,building society savings agreement/ life insurance,23,none,own,0
634,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... < 100 DM,... < 1 year,2,co-applicant,"car or other, not in attribute Savings account/bonds",19,none,rent,1
635,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",25,none,own,1
636,no checking account,12,existing credits paid back duly till now,education,1393,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,47,bank,own,0
637,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
638,no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",21,none,own,0
639,no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
640,... < 0 DM,42,delay in paying off in the past,radio/television,4370,... < 100 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,26,bank,own,1
641,... < 0 DM,18,existing credits paid back duly till now,education,750,... < 100 DM,unemployed,4,none,real estate,27,none,own,1
642,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1308,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",38,none,own,0
643,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,40,none,own,1
644,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,... < 100 DM,4 <= ... < 7 years,4,guarantor,"car or other, not in attribute Savings account/bonds",33,none,own,0
645,... < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,32,none,own,0
646,no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,none,rent,1
647,... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 100 DM,1 <= ... < 4 years,2,guarantor,real estate,32,none,own,0
648,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,26,none,own,1
649,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,38,bank,for free,1
650,... < 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",40,none,rent,1
651,... < 0 DM,48,existing credits paid back duly till now,education,7476,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,50,none,for free,0
652,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,37,none,own,1
653,... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,co-applicant,real estate,45,none,own,1
654,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",42,none,own,1
655,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
656,... < 0 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,1,none,unknown / no property,22,none,for free,0
657,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",41,bank,own,1
658,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",37,stores,own,0
659,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
660,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,... >= 7 years,2,none,unknown / no property,41,none,own,0
661,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,... < 100 DM,1 <= ... < 4 years,3,none,real estate,23,none,rent,0
662,... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",23,none,own,1
663,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... < 100 DM,... >= 7 years,4,none,real estate,50,none,own,0
664,0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,... < 100 DM,unemployed,4,none,building society savings agreement/ life insurance,35,stores,own,0
665,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,... < 100 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,50,none,own,0
666,no checking account,24,critical account/ other credits existing (not at this bank),others,6314,... < 100 DM,unemployed,4,co-applicant,unknown / no property,27,bank,own,0
667,0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,... >= 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",34,stores,own,0
668,no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,none,real estate,27,stores,own,0
669,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,... >= 7 years,3,co-applicant,building society savings agreement/ life insurance,43,none,rent,1
670,... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,47,none,own,0
671,no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,27,none,own,0
672,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
673,no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,42,none,own,0
674,no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
675,no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,... < 1 year,4,none,real estate,41,bank,own,1
676,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",26,none,rent,0
677,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",33,none,own,0
